9 3
2 6 52
3 1 100
8 7 43
5 4 91
5 6 17
1 3 17
8 6 85
3 7 95
3 5 37
0 2 89
0 3 60
5 1 77
7 2 97
7 1 95

6 2
5 3 54
0 3 13
4 0 25
2 4 23
1 0 18
5 4 9

5 1
0 4 70
2 3 8
2 0 14
2 1 36

10 5
3 9 77
0 4 7
3 2 63
7 5 65
6 0 54
3 8 90
2 1 53
9 2 72
8 3 36
2 4 28
1 9 69

8 2
4 6 80
2 3 19
1 6 74
0 3 52
0 7 23
0 1 58
4 1 72
3 0 86
7 0 90
5 6 62
1 4 96
4 5 58
5 3 98
7 6 77
1 7 96

4 4
2 1 52
0 1 52
1 0 33

8 1
4 6 74
2 4 95
1 6 80
5 6 24
2 6 51
3 6 90
7 3 72
0 1 48
7 2 21
5 6 43
4 5 54
1 4 76
2 7 55
4 2 38

9 3
1 6 74
8 2 94
2 1 25
7 1 26
6 1 4
2 4 100
4 0 32
7 6 9
2 0 49
8 6 100
7 0 89
4 6 48
8 1 77

4 4
0 2 91
3 0 23
3 1 4
0 1 70
2 3 42
1 3 54

4 2
3 0 80
2 0 91
3 0 28
1 0 74
0 2 5
1 2 17
